id,category,slug,name,price,weight,description
7b82f6b5-1db2-4a6b-b27f-3bac558df4fe,Crafting,fournitures-d-alchimiste,Fournitures d’alchimiste,50,4,"Cet ensemble comprend le nécessaire afin d’effectuer des réactions chimiques, soit deux béchers en verre, un cadre de maintien métallique, une tige en verre, un mortier, un pilon et des petites pochettes de réactifs communs."
f892e54f-1713-4de8-b85c-1e112b02f444,Crafting,fournitures-de-brasseur,Fournitures de brasseur,20,4,"Cet ensemble comprend une grande cruche en verre, un siphon, quelques mètres de tube et différents houblons."
bb533c3d-c517-4be5-8644-ad7ee9b66fe4,Crafting,fournitures-de-peintre,Fournitures de peintre,10,2.5,"Cet ensemble comprend un chevalet, des toiles, une palette, des brosses et pinceaux, et du charbon de bois."
ff32b591-6532-491c-a3a8-8d46a90851fa,Crafting,outils-de-bricoleur,Outils de bricoleur,50,5,"Ces outils consistent en une variété d’outils manuels tels un petit marteau et des ciseaux, du fil de métal, des aiguilles, des retailles de tissu, une pierre à aiguiser et un petit pot de colle."
071386f7-7bf3-41c1-8cc1-f53f084c20f5,Crafting,outils-de-calligraphe,Outils de calligraphe,10,2.5,"Ces outils comprennent plusieurs plumes à écrire de différent calibre, différentes qualités et couleurs d’encre et une douzaine de parchemins."
575aaafe-ad46-4cd5-9800-dbfcd0707b97,Crafting,outils-de-cartographe,Outils de cartographe,15,3,"Ces outils comprennent une plume à écrire, de l’encre, trois parchemins, un compas, une règle et un pied à coulisse."
73c93efa-fb81-491a-ae38-f6f00cd44bef,Crafting,outils-de-cordonnier,Outils de cordonnier,5,2.5,"Ces outils comprennent un support à chaussures, un couteau, un poinçon, un marteau, un graveur, des retailles de cuir, du fil à coudre et du cordon."
09360fc5-5f1f-4897-af57-421a06726cc9,Crafting,outils-de-forgeron,Outils de forgeron,20,4,"Ces outils comprennent un ensemble de marteaux et de pinces, du charbon, des chiffons et de la pierre à aiguiser."
19a6dd0e-09dc-477e-9a0c-df3c6a32164a,Crafting,outils-de-joaillier,Outils de joaillier,25,1,"Ces outils comprennent un ensemble de petits marteaux et scies, des limes, des pinces et des pincettes."
5c3e887b-633f-4af1-887e-7ef327b69e90,Crafting,outils-de-macon,Outils de maçon,10,4,"Ces outils comprennent une truelle, un marteau, un ciseau à pierre, des brosses et une équerre."
82c0ca86-39c3-475a-bd03-3bf86e29a71d,Crafting,outils-de-maroquinier,Outils de maroquinier,5,2.5,"Ces outils comprennent un couteau, un petit maillet, une déligneuse, un perforateur, du fil et des retailles de cuir."
